5.0,4.268036773067158,3.942167842185588,2.9494770580371363
10.0,1.6204383261032211,2.289165218842564,1.5284070351027288
15.0,0.7732582065698372,1.421541997990141,0.8083040854556945
20.0,0.29520200485010994,0.9585008081974424,0.45704348274234285
25.0,0.17972600222978957,0.7067661639277621,0.348658715326807
30.0,0.09087811174633867,0.4650688642473615,0.18496385402349844
35.0,0.05532409550245953,0.3442369915847987,0.1300580110783581
40.0,0.028311728018121422,0.2313840263264884,0.0806054377284593
45.0,0.017391071104474715,0.1693600872914269,0.05380495213586703
50.0,0.00959531080365531,0.11775309605529269,0.03460466947055434
55.0,0.0057006559586943225,0.08274610875859492,0.022533346232452886
60.0,0.0033411609517430448,0.05945206264170998,0.015126560545618591
65.0,0.001968147911247778,0.04202988292546937,0.009879734419173062
70.0,0.0012034944743187258,0.03032323875823111,0.006571700272772461
75.0,0.0007026724171231279,0.022006429024219634,0.004504422634759143
80.0,0.00041814514926232437,0.015521410471007399,0.002955415865215123
85.0,0.00025645957247091654,0.011352183689502427,0.0019574308505927087
90.0,0.00015570278826980394,0.007897091294622962,0.0012802051785463916
